film_ref	own_community	n_cross_pairs	n_other_communities	max_similarity	mean_similarity	other_communities
(filmRef)16178	3	696	20	0.6054	0.5456	0,8,9,14,32,46,47,50,60,62,68,86,122,130,136,171,216,219,377,465
(filmRef)20239	26	692	10	0.5875	0.538	0,21,30,31,57,59,199,236,492,496
(filmRef)20237	26	691	11	0.5879	0.5399	0,21,30,31,32,57,199,236,293,492,496
(filmRef)20236	26	690	9	0.5921	0.5394	0,21,30,31,57,199,236,492,496
(filmRef)20235	26	689	11	0.5824	0.5392	0,21,30,31,57,59,199,236,293,492,496
(filmRef)14362	30	689	12	0.6494	0.5899	0,3,21,26,31,33,69,171,236,284,290,496
(filmRef)14361	30	678	10	0.6392	0.5777	0,21,26,31,33,69,171,236,284,496
(filmRef)16179	3	675	21	0.6132	0.5667	0,8,14,32,46,47,50,60,62,77,86,122,130,136,153,176,216,219,377,465,496
(filmRef)16188	3	675	18	0.6197	0.5688	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,391,465,496
(filmRef)16177	3	673	18	0.6226	0.5691	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,391,465,496
(filmRef)16186	3	672	18	0.6197	0.5677	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,391,465,496
(filmRef)16180	3	671	17	0.6132	0.5668	0,8,14,32,46,47,60,62,77,86,122,130,136,216,219,377,465
(filmRef)16187	3	671	17	0.6197	0.5675	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,391,465
(filmRef)16890	3	671	16	0.6132	0.5668	0,8,14,46,47,60,62,77,86,122,130,136,190,216,219,465
(filmRef)16891	3	670	16	0.6132	0.5669	0,8,14,46,47,60,62,77,86,122,130,136,190,216,219,465
(filmRef)16183	3	670	17	0.6132	0.5666	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,391,465
(filmRef)16892	3	669	16	0.6132	0.567	0,8,14,46,47,60,62,77,86,122,130,136,190,216,219,465
(filmRef)16181	3	669	16	0.6132	0.5669	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,465
(filmRef)14364	30	669	7	0.6306	0.5734	0,21,26,31,33,69,236
(filmRef)16185	3	669	16	0.6132	0.5667	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,465
(filmRef)16184	3	669	16	0.6132	0.5667	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,465
(filmRef)16182	3	668	16	0.6132	0.567	0,8,14,46,47,60,62,77,86,122,130,136,216,219,377,465
(filmRef)14278	30	667	8	0.6486	0.5609	0,21,26,31,33,236,284,496
(filmRef)14279	30	667	8	0.6486	0.5609	0,21,26,31,33,236,284,496
(filmRef)14167	33	663	13	0.6392	0.5585	0,5,26,30,34,42,45,59,69,165,171,220,236
(filmRef)16556	3	661	16	0.5856	0.5259	0,8,14,47,59,60,77,122,140,143,211,219,284,377,383,391
(filmRef)14357	30	660	8	0.6369	0.5788	0,26,31,33,69,171,236,496
(filmRef)14356	30	660	8	0.6343	0.5819	0,26,31,33,69,171,236,496
(filmRef)14164	33	660	13	0.6333	0.5541	0,5,26,30,34,42,45,59,69,165,171,220,236
(filmRef)14155	33	659	14	0.649	0.5506	0,5,26,30,34,42,45,59,69,165,171,220,236,345
(filmRef)14346	30	659	7	0.6375	0.5715	0,21,26,31,33,236,284
(filmRef)14195	33	658	12	0.6421	0.5553	0,5,30,34,42,45,59,69,165,171,220,236
(filmRef)20238	26	658	15	0.611	0.5551	0,5,21,30,31,32,49,57,119,129,199,236,291,293,492
