film_ref	has_source_tag	source_name	desc_word_count	has_shotlist	is_broadcaster_summary
(filmRef)0001	False		110	True	False
(filmRef)0002	False		90	True	False
(filmRef)0004	False		155	True	False
(filmRef)0005	False		608	True	False
(filmRef)0007	False		75	True	False
(filmRef)0008	False		184	True	False
(filmRef)0009	False		340	True	False
(filmRef)0010	False		63	True	False
(filmRef)0011	False		84	True	False
(filmRef)0012	False		394	True	False
(filmRef)0013	False		238	True	False
(filmRef)0014	False		154	True	False
(filmRef)0015	False		85	True	False
(filmRef)0016	False		174	True	False
(filmRef)0017	False		276	True	False
(filmRef)0018	False		205	True	False
(filmRef)0019	False		117	True	False
(filmRef)0020	False		190	True	False
(filmRef)0021	False		64	True	False
(filmRef)0022	False		98	True	False
(filmRef)0023A	False		106	True	False
(filmRef)0023B	False		100	True	False
(filmRef)0023C	False		95	True	False
(filmRef)0023D	False		72	True	False
(filmRef)0023E	False		54	True	False
(filmRef)0024	False		42	True	False
(filmRef)0025	False		434	True	False
(filmRef)0026	False		60	True	False
(filmRef)0027	False		73	True	False
(filmRef)0028	False		211	True	False
(filmRef)0029	False		191	True	False
(filmRef)0030	False		107	True	False
(filmRef)0031	False		92	True	False
(filmRef)0032	False		435	True	False
(filmRef)0033	False		180	True	False
(filmRef)0034	False		437	True	False
(filmRef)0035	False		167	True	False
(filmRef)0036	False		147	True	False
(filmRef)0037	False		67	True	False
(filmRef)0038	False		415	True	False
(filmRef)0039	False		172	True	False
(filmRef)0040	False		125	True	False
(filmRef)0041	False		234	True	False
(filmRef)0042	False		1051	True	False
(filmRef)0042A	False		229	True	False
(filmRef)0043	False		295	True	False
(filmRef)0044	False		349	True	False
(filmRef)0045	False		206	True	False
(filmRef)0046	False		354	True	False
(filmRef)0048	False		169	True	False
(filmRef)0049	False		69	True	False
(filmRef)0050	False		112	True	False
(filmRef)0051	False		395	True	False
(filmRef)0052	False		33	True	False
(filmRef)0053	False		227	True	False
(filmRef)0054	False		99	True	False
(filmRef)0055	False		186	True	False
(filmRef)0056	False		2371	True	False
(filmRef)0057	False		503	True	False
(filmRef)0058	False		65	True	False
(filmRef)0059	False		111	True	False
(filmRef)0060	False		273	True	False
(filmRef)0061	False		34	True	False
(filmRef)0062	False		297	True	False
(filmRef)0063	False		96	True	False
(filmRef)0064	False		30	True	False
(filmRef)0065	False		66	True	False
(filmRef)0066	False		47	True	False
(filmRef)0067	False		172	True	False
(filmRef)0068	False		75	True	False
(filmRef)0069	False		64	True	False
(filmRef)0070	False		80	True	False
(filmRef)0071	False		68	True	False
(filmRef)0072	False		156	True	False
(filmRef)0073	False		40	True	False
(filmRef)0074	False		399	True	False
(filmRef)0075	False		88	True	False
(filmRef)0076	False		44	True	False
(filmRef)0077	False		105	True	False
(filmRef)0079	False		283	True	False
(filmRef)0080	False		66	True	False
(filmRef)0081	False		59	True	False
(filmRef)0082	False		178	True	False
(filmRef)0083	False		96	True	False
(filmRef)0084	False		56	True	False
(filmRef)0085	False		163	True	False
(filmRef)0087	False		224	True	False
(filmRef)0088	False		153	True	False
(filmRef)0089	False		158	True	False
(filmRef)0090	False		150	True	False
(filmRef)0093	False		47	True	False
(filmRef)0096	False		94	True	False
(filmRef)0097	False		88	True	False
(filmRef)0098	False		199	True	False
(filmRef)0099	False		107	True	False
(filmRef)0100	False		90	True	False
(filmRef)0103	False		146	True	False
(filmRef)0105	False		91	True	False
(filmRef)0106	False		283	True	False
(filmRef)0107	False		105	True	False
(filmRef)0108	False		87	True	False
(filmRef)0109	False		293	True	False
