film_ref	community_id	degree_centrality	betweenness	eigenvector	n_neighbour_communities	is_bridge
(filmRef)T0105	4	0.0016117478510028654	0.00017321309521793287	3.3185117717618764e-41	1	True
(filmRef)20580	0	0.10476361031518625	0.0001494123328750243	0.0388104087507307	2	True
(filmRef)N0024	4	0.0008954154727793696	0.0001310645753815692	3.6580700528801558e-40	1	True
(filmRef)N0177	4	0.0005372492836676218	0.00013061550439396715	4.4247912560485765e-39	1	True
(filmRef)5267	4	0.0017908309455587391	0.00012381528658170758	5.507656471815526e-38	1	True
(filmRef)T1116	4	0.0007163323782234957	0.00011040730995187499	3.339382796813264e-42	1	True
(filmRef)14844	5	0.0057306590257879654	0.00010514676409710814	3.4704614639218575e-30	1	True
(filmRef)15374	5	0.0025071633237822347	0.00010181080818920721	1.1146691720732267e-31	1	True
(filmRef)T1149	4	0.0005372492836676218	9.23803174495642e-05	3.795226437729496e-42	1	True
(filmRef)T1998	4	0.002148997134670487	9.000665651509623e-05	2.6917361173702356e-41	1	True
(filmRef)14266	2	0.051755014326647565	8.699146559833962e-05	1.4246444869413176e-08	1	True
(filmRef)16229	3	0.01414756446991404	7.724020986755229e-05	1.7458831850721856e-22	1	True
(filmRef)21133	6	0.004297994269340974	6.351146824657538e-05	4.385411669692733e-31	1	True
(filmRef)14383	2	0.05265042979942693	6.184349029262492e-05	1.2940063350862665e-08	1	True
(filmRef)T0542	4	0.0016117478510028654	4.2661743822194576e-05	3.1162989459100005e-42	1	True
(filmRef)14286	3	0.0016117478510028654	4.195606084167707e-05	9.114175476316809e-24	1	True
(filmRef)15962	3	0.0028653295128939827	4.0544694880642065e-05	8.878519316609194e-24	1	True
(filmRef)16227	3	0.014684813753581662	3.810688094794523e-05	1.7716233941143462e-22	1	True
(filmRef)18027	1	0.0995702005730659	3.642821082762329e-05	2.3399536616236622e-05	1	True
(filmRef)14196	5	0.0050143266475644694	3.4386007050671115e-05	2.7491939290675514e-30	1	True
(filmRef)14081	5	0.0034025787965616043	3.278218209494952e-05	1.6278854178918343e-31	1	True
(filmRef)18984	1	0.0954512893982808	3.2012346116203147e-05	2.081571893259196e-05	1	True
(filmRef)N0455	4	0.0010744985673352436	3.188404011974542e-05	3.654704716065625e-41	1	True
(filmRef)17971	8	0.010386819484240688	3.1563275128601104e-05	9.277054993573271e-26	1	True
(filmRef)17871	8	0.010386819484240688	3.1563275128601104e-05	9.277054993573271e-26	1	True
(filmRef)21090	6	0.004656160458452722	3.0429905493224475e-05	6.159643141075603e-32	1	True
(filmRef)UCS0137	11	0.001969914040114613	2.9510379185277453e-05	4.1786706055664186e-39	1	True
(filmRef)5307	4	0.0014326647564469914	2.83556252171579e-05	5.178453729776284e-38	1	True
(filmRef)UCS0048	11	0.001969914040114613	2.7136718250809484e-05	1.0946883744919264e-38	1	True
(filmRef)15544	5	0.0028653295128939827	2.7008412254351756e-05	7.029022272331108e-33	1	True
(filmRef)UCS0210	11	0.0014326647564469914	2.6815953259665163e-05	7.871078142192138e-39	1	True
(filmRef)UCS0206	11	0.0012535816618911174	2.6815953259665163e-05	1.7596645085766557e-39	1	True
(filmRef)14753	1	0.0995702005730659	2.6238576275605386e-05	2.3296900183253732e-05	1	True
(filmRef)21114	6	0.0041189111747851	2.5917811284461065e-05	1.1977267959941789e-30	1	True
(filmRef)17289	1	0.09795845272206304	2.5147975305714698e-05	2.19512001341951e-05	1	True
(filmRef)5244	4	0.0025071633237822347	2.5083822307485834e-05	1.1142404187320593e-37	1	True
(filmRef)17286	1	0.09813753581661891	2.322338535884878e-05	2.2362040575835044e-05	1	True
(filmRef)T0366	4	0.0008954154727793696	2.309507936239105e-05	3.437073570030233e-42	1	True
(filmRef)15545	5	0.0014326647564469914	2.2710161373017865e-05	7.143122499411222e-34	1	True
(filmRef)21093	6	0.004656160458452722	2.1961709727014438e-05	6.160244489784275e-32	1	True
(filmRef)19227	1	0.08828796561604585	2.1747866399584905e-05	1.881941698801142e-05	1	True
(filmRef)15959	3	0.004656160458452722	2.10421834190674e-05	2.455003769569863e-24	1	True
(filmRef)20415	1	0.08022922636103151	2.0785571426151946e-05	1.6988311908001845e-05	1	True
(filmRef)5232	4	0.0028653295128939827	2.0336500438549896e-05	1.2305905758166364e-37	1	True
(filmRef)15972	3	0.0025071633237822347	1.9181746470430344e-05	2.3607439305418863e-24	1	True
(filmRef)UCS0146	11	0.0012535816618911174	1.8732675482828295e-05	3.4798495245372636e-39	1	True
(filmRef)UCS0118	11	0.0017908309455587391	1.8604369486370567e-05	1.8628587681186367e-38	1	True
(filmRef)16226	3	0.013968481375358166	1.8594006309733598e-05	1.7473859994401562e-22	1	True
(filmRef)16228	3	0.013968481375358166	1.7909049682490036e-05	1.7482449346464283e-22	1	True
(filmRef)14818	1	0.09742120343839542	1.7770380509395335e-05	2.1678442112002127e-05	1	True
(filmRef)15320	1	0.09921203438395415	1.7770380509395335e-05	2.3226209239376436e-05	1	True
(filmRef)15790	1	0.09186962750716332	1.7642074512937607e-05	1.977543277510497e-05	1	True
(filmRef)17695	1	0.09939111747851002	1.738546252002215e-05	2.300272020816456e-05	1	True
(filmRef)21033	6	0.0037607449856733523	1.695777586516307e-05	5.971422181522314e-32	1	True
(filmRef)14918	5	0.005551575931232092	1.6166555553673734e-05	3.325456352558069e-30	1	True
(filmRef)14248	5	0.0035816618911174783	1.5909943560758277e-05	1.7881021509290686e-31	1	True
(filmRef)16890	3	0.0050143266475644694	1.588230768209182e-05	1.0149201246995405e-23	1	False
(filmRef)17672	3	0.012893982808022923	1.5717484566071688e-05	1.7978931474197805e-22	1	False
(filmRef)UCS0122	11	0.0017908309455587391	1.4883495589096453e-05	2.2077159528372457e-39	1	False
(filmRef)15318	1	0.08775071633237821	1.4626883596180998e-05	1.8886509534350746e-05	1	False
