film_ref	title	year	genre_tag	genre_tag_raw	desc_word_count	n_desc_fields	has_shotlist	has_reels	has_credit_line	credit_text	n_subjects	has_timecodes	timecode_count	n_creators
(filmRef)0001	(GLASGOW TRAMS AND BOTANIC GARDENS)	1950.0	non-fiction; documentary	non-fiction; documentary	110	4	True	False	True	filmed by Stanley L. Russell, Thames and Clyde	7	True	9	1
(filmRef)0002	(LAST DAY OF THE TRAMS, GLASGOW)	1962.0	non-fiction; documentary amateur	non-fiction; documentary amateur	90	4	True	False	True	filmed by SAAC	2	True	2	0
(filmRef)0004	INTO THE MISTS	1956.0	non-fiction; amateur	non-fiction; amateur	155	4	True	False	True	filmed by W.S. Dobson	5	True	5	0
(filmRef)0005	PASSING OF THE TRAMCAR, the	1962.0	non-fiction; sponsored	non-fiction; sponsored	608	3	True	True	True	Please note this film has been shotlisted at 24fps. Actual running speed is 18fps and 24fps mix	3	True	35	0
(filmRef)0007	SCOTS OF TOMORROW	1959.0	non-fiction; educational	non-fiction; educational	75	5	True	True	False		2	True	4	2
(filmRef)0008	British Movietone News No. 1127A, GLASGOW UNIVERSITY CELEBRATIONS	1951.0	non-fiction; newsreel	non-fiction; newsreel	184	5	True	False	True	comm. s. Lionel Gamlin	3	True	8	0
(filmRef)0009	FIFTH CENTENARY OF THE UNIVERSITY OF GLASGOW	1951.0	non-fiction; documentary	non-fiction; documentary	340	5	True	False	True	B/W	4	True	9	1
(filmRef)0010	ABERDEEN UNIVERSITY QUATER CENTENARY CELEBRATIONS	1906.0	non-fiction	non-fiction	63	4	True	False	False		1	True	2	0
(filmRef)0011	MR. HARRY LAUDER LEAVES FOR AMERICA: His Triumphal Progress from London to Liverpool	1913.0	non-fiction; newsreel	non-fiction; newsreel	84	4	True	False	True	Shotlisted at different speed. Actual timing is 3.16 mins @ 18 fps	5	True	5	0
(filmRef)0012	GLASGOW'S YESTERDAYS	1922.0	non-fiction; local topical	non-fiction; local topical	394	4	True	False	True	p. James Hart 1930	6	True	11	1
(filmRef)0013	GOVAN FAIR 1947	1947.0	non-fiction; local topical	non-fiction; local topical	238	4	True	False	True	Shotlisted at different speed. Actual timing is 07.12 mins @ 24 fps	7	True	17	3
(filmRef)0014	(EDINBURGH SAYS FAREWELL TO THE TRAMS)		non-fiction	non-fiction	154	3	True	False	True	col.	0	True	4	0
(filmRef)0015	(GROSVENOR TOPICAL NEWS): STUDENTS' CHARITIES DAY, GLASGOW	1926.0	non-fiction; local topical	non-fiction; local topical	85	4	True	False	True	attributed to James Hart	3	True	5	1
(filmRef)0016	ORPHEUS CHOIR	1951.0	non-fiction; promotional music	non-fiction; promotional music	174	5	True	False	True	Shotlisted at different speed. Actual timing is 12.07 mins @ 24 fps	2	True	7	0
(filmRef)0017	DAY IN THE HOME, a	1951.0	non-fiction; educational	non-fiction; educational	276	5	True	False	False		2	True	23	2
(filmRef)0018	LANIMER DAY, LANARK	1951.0	non-fiction; local topical	non-fiction; local topical	205	4	True	False	True	Shotlisted at different speed. Actual timing is 09.54 mins @ 24 fps	0	True	9	0
(filmRef)0019	[GREAT WESTERN ROAD 1915]	1915.0	non-fiction; local topical	non-fiction; local topical	117	4	True	False	True	filmed by James Hart	3	True	6	1
(filmRef)0020	JAMES WATT	1959.0	non-fiction; educational	non-fiction; educational	190	5	True	True	False		4	True	12	1
(filmRef)0021	LORD LOTHIAN PRESENTS HIS CREDENTIALS AT THE WHITE HOUSE	1939.0	non-fiction; newsreel	non-fiction; newsreel	64	5	True	False	True	Incomplete	2	True	2	0
(filmRef)0022	[GAUMONT BRITISH NEWS] MIDNIGHT MATINEE FOR THE REFUGEES	1939.0	non-fiction; newsreel	non-fiction; newsreel	98	4	True	False	False		3	True	2	0
(filmRef)0023A	BRITISH MOVIETONE NEWS No. 799A, ROYAL TOUR OF SCOTLAND	1944.0	non-fiction; newsreel	non-fiction; newsreel	106	5	True	False	True	comm. s. Leslie Mitchell	4	True	4	0
(filmRef)0023B	BRITISH MOVIETONE NEWS No. 793, GLASGOW ARMY EXHIBITION	1944.0	non-fiction; newsreel	non-fiction; newsreel	100	5	True	False	True	comm. Leslie Mitchell	3	True	5	1
(filmRef)0023C	BRITISH MOVIETONE NEWS No. 777A, HAMPDEN PARK INTERNATIONAL: ENGLAND v SCOTLAND	1944.0	non-fiction; newsreel	non-fiction; newsreel	95	5	True	False	True	comm. Leslie Mitchell	2	True	5	0
(filmRef)0023D	GAUMONT BRITISH NEWS No. 1124, ROYAL TOUR OF SCOTLAND	1944.0	non-fiction; newsreel	non-fiction; newsreel	72	4	True	False	False		5	True	4	0
(filmRef)0023E	GAUMONT BRITISH NEWS No. 1140, GREATEST BATTLESHIP LAUNCHED	1944.0	non-fiction; newsreel	non-fiction; newsreel	54	4	True	False	True	"Battleship unidentified due to wartime censorship, but most likely the 41,600 ton ""HMS Vanguard"""	7	True	2	0
