film_ref	tfidf_cluster
(filmRef)0001	14
(filmRef)0002	14
(filmRef)0004	14
(filmRef)0005	10
(filmRef)0007	11
(filmRef)0008	14
(filmRef)0009	14
(filmRef)0010	14
(filmRef)0011	14
(filmRef)0012	14
(filmRef)0013	19
(filmRef)0014	14
(filmRef)0015	19
(filmRef)0016	11
(filmRef)0017	10
(filmRef)0018	19
(filmRef)0019	14
(filmRef)0020	13
(filmRef)0021	11
(filmRef)0022	14
(filmRef)0023A	6
(filmRef)0023B	6
(filmRef)0023C	7
(filmRef)0023D	6
(filmRef)0023E	18
(filmRef)0024	3
(filmRef)0025	13
(filmRef)0026	11
(filmRef)0027	2
(filmRef)0028	11
(filmRef)0029	11
(filmRef)0030	11
(filmRef)0031	11
(filmRef)0032	10
(filmRef)0033	11
(filmRef)0034	10
(filmRef)0035	14
(filmRef)0036	11
(filmRef)0037	6
(filmRef)0038	10
(filmRef)0039	2
(filmRef)0040	11
(filmRef)0041	18
(filmRef)0042	6
(filmRef)0042A	6
(filmRef)0043	14
(filmRef)0044	2
(filmRef)0045	6
(filmRef)0046	19
(filmRef)0048	2
(filmRef)0049	14
(filmRef)0050	18
(filmRef)0051	6
(filmRef)0052	14
(filmRef)0053	19
(filmRef)0054	6
(filmRef)0055	10
(filmRef)0056	2
(filmRef)0057	13
(filmRef)0058	11
(filmRef)0059	13
(filmRef)0060	14
(filmRef)0061	2
(filmRef)0062	10
(filmRef)0063	13
(filmRef)0064	6
(filmRef)0065	14
(filmRef)0066	14
(filmRef)0067	13
(filmRef)0068	13
(filmRef)0069	11
(filmRef)0070	11
(filmRef)0071	13
(filmRef)0072	13
(filmRef)0073	13
(filmRef)0074	13
(filmRef)0075	13
(filmRef)0076	13
(filmRef)0077	13
(filmRef)0079	2
(filmRef)0080	2
(filmRef)0081	14
(filmRef)0082	13
(filmRef)0083	2
(filmRef)0084	11
(filmRef)0085	13
(filmRef)0087	19
(filmRef)0088	19
(filmRef)0089	19
(filmRef)0090	10
(filmRef)0093	18
(filmRef)0096	6
(filmRef)0097	13
(filmRef)0098	11
(filmRef)0099	11
(filmRef)0100	11
(filmRef)0103	10
(filmRef)0105	11
(filmRef)0106	14
(filmRef)0107	11
(filmRef)0108	13
(filmRef)0109	10
(filmRef)0111	13
(filmRef)0112	10
(filmRef)0113	13
(filmRef)0114	10
(filmRef)0115	11
(filmRef)0116	6
(filmRef)0117	14
(filmRef)0118	14
(filmRef)0119	14
(filmRef)0120	13
(filmRef)0122	6
(filmRef)0123	10
(filmRef)0124	11
(filmRef)0126	14
(filmRef)0127	11
(filmRef)0128	6
(filmRef)0129	3
(filmRef)0130	14
(filmRef)0131	2
(filmRef)0132	2
(filmRef)0133	2
(filmRef)0134	14
(filmRef)0135	10
(filmRef)0136	2
(filmRef)0140	10
(filmRef)0141	13
(filmRef)0143	11
(filmRef)0144	14
(filmRef)0145	11
(filmRef)0146	14
(filmRef)0147	14
(filmRef)0148	2
(filmRef)0149	14
(filmRef)0150	6
(filmRef)0151	14
(filmRef)0152	14
(filmRef)0153	14
(filmRef)0154	13
(filmRef)0155	13
(filmRef)0156	14
(filmRef)0157	11
(filmRef)0158	13
(filmRef)0159	7
(filmRef)0160	13
(filmRef)0161	13
(filmRef)0162	2
(filmRef)0163	2
(filmRef)0164	14
(filmRef)0165	2
(filmRef)0166	11
(filmRef)0167	13
(filmRef)0168	19
(filmRef)0169	19
(filmRef)0170	19
(filmRef)0171	19
(filmRef)0172	19
(filmRef)0173	19
(filmRef)0174	18
(filmRef)0175	19
(filmRef)0176	19
(filmRef)0177	7
(filmRef)0178	19
(filmRef)0179	19
(filmRef)0180	19
(filmRef)0181	14
(filmRef)0182	10
(filmRef)0183	7
(filmRef)0184	11
(filmRef)0185	13
(filmRef)0188	6
(filmRef)0189	13
(filmRef)0190	10
(filmRef)0191	10
(filmRef)0192	11
(filmRef)0193	11
(filmRef)0194A	13
(filmRef)0194B	11
(filmRef)0195A	11
(filmRef)0195B	19
(filmRef)0196	10
(filmRef)0197	13
(filmRef)0199	14
(filmRef)0201	14
(filmRef)0202	3
(filmRef)0204	1
(filmRef)0231	10
(filmRef)0232	18
(filmRef)0234	6
(filmRef)0235	6
(filmRef)0236	14
(filmRef)0237	14
(filmRef)0238	14
(filmRef)0239	19
(filmRef)0241	14
(filmRef)0242	6
(filmRef)0244	14
(filmRef)0245A	14
(filmRef)0246A	11
(filmRef)0246B	6
(filmRef)0247	14
(filmRef)0248	7
(filmRef)0249	14
(filmRef)0250	11
(filmRef)0251	2
(filmRef)0252	11
(filmRef)0253	10
(filmRef)0255A	10
(filmRef)0255B	10
(filmRef)0255C	14
(filmRef)0256	2
(filmRef)0257	14
(filmRef)0258	14
(filmRef)0259	2
(filmRef)0260	2
(filmRef)0262	11
(filmRef)0264	13
(filmRef)0265A	7
(filmRef)0265B	7
(filmRef)0265C	7
(filmRef)0266	6
(filmRef)0268	13
(filmRef)0269	7
(filmRef)0270	13
(filmRef)0271	10
(filmRef)0272	11
(filmRef)0273	11
(filmRef)0274	10
(filmRef)0275	14
(filmRef)0276	2
(filmRef)0277	1
(filmRef)0278	13
(filmRef)0279	10
(filmRef)0280	10
(filmRef)0281	10
(filmRef)0282	11
(filmRef)0283	14
(filmRef)0284	14
(filmRef)0285	14
(filmRef)0286A	18
(filmRef)0286B	18
(filmRef)0288	10
(filmRef)0291	10
(filmRef)0292	11
(filmRef)0294	10
(filmRef)0295	2
(filmRef)0296	13
(filmRef)0297	13
(filmRef)0298	18
(filmRef)0299	10
(filmRef)0300	10
(filmRef)0301	10
(filmRef)0302	2
(filmRef)0303	10
(filmRef)0304	13
(filmRef)0305	10
(filmRef)0306	10
(filmRef)0307	10
(filmRef)0308	11
(filmRef)0309	6
(filmRef)0310	14
(filmRef)0311	14
(filmRef)0312	11
(filmRef)0313	11
(filmRef)0314	7
(filmRef)0315	14
(filmRef)0316	10
(filmRef)0317	10
(filmRef)0318	14
(filmRef)0319	14
(filmRef)0320	13
(filmRef)0322	13
(filmRef)0323	3
(filmRef)0324	13
(filmRef)0325	19
(filmRef)0326	11
(filmRef)0327	7
(filmRef)0328	13
(filmRef)0329	14
(filmRef)0330	13
(filmRef)0331	10
(filmRef)0332	14
(filmRef)0333	10
(filmRef)0334	10
(filmRef)0335A	7
(filmRef)0335B	7
(filmRef)0336	19
(filmRef)0337	19
(filmRef)0338	19
(filmRef)0339	19
(filmRef)0340	19
(filmRef)0341	19
(filmRef)0342	19
(filmRef)0343	19
(filmRef)0344	19
(filmRef)0345	10
(filmRef)0346	10
(filmRef)0347	10
(filmRef)0348	10
(filmRef)0349	14
(filmRef)0350	3
(filmRef)0351	3
(filmRef)0352	10
(filmRef)0353	14
(filmRef)0354	2
(filmRef)0355	2
