film_ref	tfidf_community_id
(filmRef)0142	14
(filmRef)0186	14
(filmRef)2417	14
(filmRef)0593	1
(filmRef)3849	1
(filmRef)0646B	2
(filmRef)3562	2
(filmRef)N0105	2
(filmRef)0675	13
(filmRef)0676	13
(filmRef)0678	13
(filmRef)0681	13
(filmRef)0685	13
(filmRef)0686	13
(filmRef)0701	13
(filmRef)0994	13
(filmRef)0999	13
(filmRef)1002	13
(filmRef)1003	13
(filmRef)1006	13
(filmRef)1007	13
(filmRef)1012	13
(filmRef)1018	13
(filmRef)1019	13
(filmRef)1032	13
(filmRef)1034	13
(filmRef)1035	13
(filmRef)15969	4
(filmRef)0680	13
(filmRef)0682	13
(filmRef)0971	13
(filmRef)1014	13
(filmRef)1015	13
(filmRef)1017	13
(filmRef)1023	13
(filmRef)1025	13
(filmRef)1054	13
(filmRef)1056	13
(filmRef)18377	5
(filmRef)18415	5
(filmRef)0996	13
(filmRef)1016	13
(filmRef)15185	4
(filmRef)17978	13
(filmRef)17979	13
(filmRef)17980	13
(filmRef)18508	13
(filmRef)15112	5
(filmRef)0870A	2
(filmRef)0870C	2
(filmRef)5247	2
(filmRef)5267	2
(filmRef)5277	2
(filmRef)T0334	2
(filmRef)T0446	2
(filmRef)T0542	2
(filmRef)T0569	2
(filmRef)UCS0121	2
(filmRef)UCS0178	2
(filmRef)UCS0192	2
(filmRef)UCS0206	2
(filmRef)5240	2
(filmRef)T0012	2
(filmRef)T0911	2
(filmRef)T1113	2
(filmRef)1001	13
(filmRef)15959	7
(filmRef)11076	8
(filmRef)T0303	13
(filmRef)0998	13
(filmRef)14909	9
(filmRef)14278	4
(filmRef)14279	4
(filmRef)14760	4
(filmRef)14913	9
(filmRef)15193	29
(filmRef)15216	4
(filmRef)15511	13
(filmRef)15963	4
(filmRef)16589	29
(filmRef)20024	11
(filmRef)20143	5
(filmRef)2927	13
(filmRef)10257	16
(filmRef)10258	16
(filmRef)10259	16
(filmRef)14912	9
(filmRef)T0105	2
(filmRef)14939	5
(filmRef)15971	29
(filmRef)20123	11
(filmRef)N0455	2
(filmRef)T0340	7
(filmRef)20353	11
(filmRef)14189	4
(filmRef)15961	13
(filmRef)15966	4
(filmRef)15968	4
(filmRef)15990	16
(filmRef)15187	13
(filmRef)15188	4
(filmRef)16683	9
(filmRef)16343	5
(filmRef)16824	4
(filmRef)22070	14
(filmRef)14357	4
(filmRef)16899	16
(filmRef)16900	16
(filmRef)16901	16
(filmRef)16902	16
(filmRef)16903	16
(filmRef)16904	16
(filmRef)16905	16
(filmRef)16906	16
