film_ref	title	tfidf_cluster	tc_pattern	has_shotlist	has_timecodes	has_grampian_tc	has_standard_tc	desc_word_count
(filmRef)0001	(GLASGOW TRAMS AND BOTANIC GARDENS)	14.0	A_standard_shotlist_tc	True	True	False	True	110
(filmRef)0002	(LAST DAY OF THE TRAMS, GLASGOW)	14.0	A_standard_shotlist_tc	True	True	False	True	90
(filmRef)0004	INTO THE MISTS	14.0	A_standard_shotlist_tc	True	True	False	True	155
(filmRef)0005	PASSING OF THE TRAMCAR, the	10.0	A_standard_shotlist_tc	True	True	False	True	608
(filmRef)0007	SCOTS OF TOMORROW	11.0	A_standard_shotlist_tc	True	True	False	True	75
(filmRef)0008	British Movietone News No. 1127A, GLASGOW UNIVERSITY CELEBRATIONS	14.0	A_standard_shotlist_tc	True	True	False	True	184
(filmRef)0009	FIFTH CENTENARY OF THE UNIVERSITY OF GLASGOW	14.0	A_standard_shotlist_tc	True	True	False	True	340
(filmRef)0010	ABERDEEN UNIVERSITY QUATER CENTENARY CELEBRATIONS	14.0	A_standard_shotlist_tc	True	True	False	True	63
(filmRef)0011	MR. HARRY LAUDER LEAVES FOR AMERICA: His Triumphal Progress from London to Liverpool	14.0	A_standard_shotlist_tc	True	True	False	True	84
(filmRef)0012	GLASGOW'S YESTERDAYS	14.0	A_standard_shotlist_tc	True	True	False	True	394
(filmRef)0013	GOVAN FAIR 1947	19.0	A_standard_shotlist_tc	True	True	False	True	238
(filmRef)0014	(EDINBURGH SAYS FAREWELL TO THE TRAMS)	14.0	A_standard_shotlist_tc	True	True	False	True	154
(filmRef)0015	(GROSVENOR TOPICAL NEWS): STUDENTS' CHARITIES DAY, GLASGOW	19.0	A_standard_shotlist_tc	True	True	False	True	85
(filmRef)0016	ORPHEUS CHOIR	11.0	A_standard_shotlist_tc	True	True	False	True	174
(filmRef)0017	DAY IN THE HOME, a	10.0	A_standard_shotlist_tc	True	True	False	True	276
(filmRef)0018	LANIMER DAY, LANARK	19.0	A_standard_shotlist_tc	True	True	False	True	205
(filmRef)0019	[GREAT WESTERN ROAD 1915]	14.0	A_standard_shotlist_tc	True	True	False	True	117
(filmRef)0020	JAMES WATT	13.0	A_standard_shotlist_tc	True	True	False	True	190
(filmRef)0021	LORD LOTHIAN PRESENTS HIS CREDENTIALS AT THE WHITE HOUSE	11.0	F_other	True	True	False	False	64
(filmRef)0022	[GAUMONT BRITISH NEWS] MIDNIGHT MATINEE FOR THE REFUGEES	14.0	A_standard_shotlist_tc	True	True	False	True	98
(filmRef)0023A	BRITISH MOVIETONE NEWS No. 799A, ROYAL TOUR OF SCOTLAND	6.0	A_standard_shotlist_tc	True	True	False	True	106
(filmRef)0023B	BRITISH MOVIETONE NEWS No. 793, GLASGOW ARMY EXHIBITION	6.0	A_standard_shotlist_tc	True	True	False	True	100
(filmRef)0023C	BRITISH MOVIETONE NEWS No. 777A, HAMPDEN PARK INTERNATIONAL: ENGLAND v SCOTLAND	7.0	A_standard_shotlist_tc	True	True	False	True	95
(filmRef)0023D	GAUMONT BRITISH NEWS No. 1124, ROYAL TOUR OF SCOTLAND	6.0	A_standard_shotlist_tc	True	True	False	True	72
(filmRef)0023E	GAUMONT BRITISH NEWS No. 1140, GREATEST BATTLESHIP LAUNCHED	18.0	A_standard_shotlist_tc	True	True	False	True	54
(filmRef)0024	CHRISTMAS 1937	3.0	A_standard_shotlist_tc	True	True	False	True	42
(filmRef)0025	(HISTORY OF THE TAILOR AND GARMENT WORKERS UNION)	13.0	A_standard_shotlist_tc	True	True	False	True	434
(filmRef)0026	WHO'S THERE	11.0	A_standard_shotlist_tc	True	True	False	True	60
(filmRef)0027	(SKYE)	2.0	A_standard_shotlist_tc	True	True	False	True	73
(filmRef)0028	WESTERN ISLES	11.0	A_standard_shotlist_tc	True	True	False	True	211
(filmRef)0029	HARNESSING THE HILLS	11.0	A_standard_shotlist_tc	True	True	False	True	191
(filmRef)0030	IT BEGAN ON THE CLYDE	11.0	A_standard_shotlist_tc	True	True	False	True	107
(filmRef)0031	ARP SCHOOLS	11.0	A_standard_shotlist_tc	True	True	False	True	92
(filmRef)0032	SCOTLAND'S WATER SUPPLY	10.0	A_standard_shotlist_tc	True	True	False	True	435
(filmRef)0033	HIGHLAND DOCTOR	11.0	A_standard_shotlist_tc	True	True	False	True	180
(filmRef)0034	FACE OF SCOTLAND, the	10.0	A_standard_shotlist_tc	True	True	False	True	437
(filmRef)0035	SCOTTISH WOMEN'S HOSPITALS	14.0	A_standard_shotlist_tc	True	True	False	True	167
(filmRef)0036	BRITISH MOVIETONE NEWS No 830, ATROCITIES - THE EVIDENCE	11.0	A_standard_shotlist_tc	True	True	False	True	147
(filmRef)0037	QUEEN'S OWN HIGHLANDERS	6.0	F_other	True	True	False	False	67
